 Count File                        Line Function                               
   232 ...juliaws/sha3/keccakp.jl   142 (::Sha3Hash.#rotl#10{Int64})(::UInt... 
   256 ...juliaws/sha3/keccakp.jl   141 (::Sha3Hash.#rotl#10{Int64})(::UInt... 
   259 ...juliaws/sha3/keccakp.jl   147 (::Sha3Hash.#rotl#10{Int64})(::UInt... 
   303 ...juliaws/sha3/keccakp.jl   149 (::Sha3Hash.#rotl#10{Int64})(::UInt... 
   343 ...juliaws/sha3/keccakp.jl   164 (::Sha3Hash.#θ!#11)(::Array{UInt64...  
   427 ...juliaws/sha3/keccakp.jl   159 (::Sha3Hash.#θ!#11)(::Array{UInt64...  
   463 ...juliaws/sha3/keccakp.jl   165 (::Sha3Hash.#θ!#11)(::Array{UInt64...  
   506 ...juliaws/sha3/keccakp.jl   200 (::Sha3Hash.#χ!#14)(::Array{UInt64...  
   512 ./bitarray.jl                531 unsafe_bitgetindex                     
   520 ./abstractarray.jl           592 unsafe_bitgetindex                     
   537 ...juliaws/sha3/keccakp.jl   221 (::Sha3Hash.#Rnd!#16)(::Array{UInt6... 
   551 ./bitarray.jl                544 unsafe_bitsetindex!                    
   589 ...liaws/sha3/spongeinc.jl    39 (::Sha3Hash.#sponge_digest!#23{Sha3... 
   650 ...juliaws/sha3/keccakp.jl   121 (::Sha3Hash.#convert_to_BitArray#8{... 
   730 ./bitarray.jl                547 unsafe_bitsetindex!                    
   847 ...juliaws/sha3/keccakp.jl   177 (::Sha3Hash.#ρ!#12)(::Array{UInt64...  
  1006 ...juliaws/sha3/keccakp.jl   167 (::Sha3Hash.#θ!#11)(::Array{UInt64...  
  1096 ./bitarray.jl                538 getindex                               
  1303 ...juliaws/sha3/keccakp.jl   120 (::Sha3Hash.#convert_to_BitArray#8{... 
  1519 ...juliaws/sha3/keccakp.jl   145 (::Sha3Hash.#rotl#10{Int64})(::UInt... 
  1650 ...juliaws/sha3/keccakp.jl   156 (::Sha3Hash.#θ!#11)(::Array{UInt64...  
  1708 ...juliaws/sha3/keccakp.jl   146 (::Sha3Hash.#rotl#10{Int64})(::UInt... 
  2080 ...juliaws/sha3/keccakp.jl   201 (::Sha3Hash.#χ!#14)(::Array{UInt64...  
  2094 ...juliaws/sha3/keccakp.jl    67 (::Sha3Hash.#keccakpnr#5{Int64})(::... 
  2120 ...juliaws/sha3/keccakp.jl   190 (::Sha3Hash.#π!#13)(::Array{UInt64...  
  2199 ...juliaws/sha3/keccakp.jl   155 (::Sha3Hash.#θ!#11)(::Array{UInt64...  
  2339 ./bitarray.jl                548 unsafe_bitsetindex!                    
  3620 ./bitarray.jl                554 setindex!                              
  4044 ...juliaws/sha3/keccakp.jl   222 (::Sha3Hash.#Rnd!#16)(::Array{UInt6... 
  4145 ...juliaws/sha3/keccakp.jl   224 (::Sha3Hash.#Rnd!#16)(::Array{UInt6... 
  4196 ...juliaws/sha3/keccakp.jl   210 (::Sha3Hash.#ι!#15)(::Array{UInt64...  
  4398 ...juliaws/sha3/keccakp.jl    87 (::Sha3Hash.#convert_to_State#6{Int... 
  4716 ./abstractarray.jl           593 copy!(::BitArray{1}, ::Int64, ::Bit... 
  4745 ...juliaws/sha3/keccakp.jl   211 (::Sha3Hash.#ι!#15)(::Array{UInt64...  
  4809 ...liaws/sha3/spongeinc.jl    46 (::Sha3Hash.#sponge_digest!#23{Sha3... 
  4875 ...juliaws/sha3/keccakp.jl   116 (::Sha3Hash.#convert_to_State#6{Int... 
  5052 ...juliaws/sha3/keccakp.jl    62 (::Sha3Hash.#keccakpnr#5{Int64})(::... 
  6700 ...juliaws/sha3/keccakp.jl   143 (::Sha3Hash.#rotl#10{Int64})(::UInt... 
  7267 ...juliaws/sha3/keccakp.jl    64 (::Sha3Hash.#keccakpnr#5{Int64})(::... 
 11194 ...juliaws/sha3/keccakp.jl   226 (::Sha3Hash.#Rnd!#16)(::Array{UInt6... 
 20271 ...juliaws/sha3/keccakp.jl   161 (::Sha3Hash.#θ!#11)(::Array{UInt64...  
 25963 ...juliaws/sha3/keccakp.jl   178 (::Sha3Hash.#ρ!#12)(::Array{UInt64...  
 28600 ...juliaws/sha3/keccakp.jl   218 (::Sha3Hash.#Rnd!#16)(::Array{UInt6... 
111722 ...juliaws/sha3/keccakp.jl   179 (::Sha3Hash.#ρ!#12)(::Array{UInt64...  
142546 ...juliaws/sha3/keccakp.jl   220 (::Sha3Hash.#Rnd!#16)(::Array{UInt6... 
192697 ...juliaws/sha3/keccakp.jl    65 (::Sha3Hash.#keccakpnr#5{Int64})(::... 
207618 ...liaws/sha3/spongeinc.jl    44 (::Sha3Hash.#sponge_digest!#23{Sha3... 
213286 ./<missing>                   -1 anonymous                              
213286 ./REPL.jl                     64 eval_user_input(::Any, ::Base.REPL.... 
213286 ./REPL.jl                     95 macro expansion                        
213286 ./event.jl                    68 (::Base.REPL.##3#4{Base.REPL.REPLBa... 
213286 ./profile.jl                  16 macro expansion;                       
